dataset,role,variable,physical_meaning,physical_score,score_basis,expected_direction_summary
chf,input,D (m),flow channel hydraulic diameter,0.5,"P=0.5 because the variables have accepted thermal-hydraulic relevance, but the support is mainly empirical rather than a closed-form first-principles equation.",CHF (kW m-2): negative
chf,input,L (m),heated length of the channel,0.5,"P=0.5 because the variables have accepted thermal-hydraulic relevance, but the support is mainly empirical rather than a closed-form first-principles equation.",CHF (kW m-2): negative
chf,input,P (kPa),system pressure,0.5,"P=0.5 because the variables have accepted thermal-hydraulic relevance, but the support is mainly empirical rather than a closed-form first-principles equation.",CHF (kW m-2): positive
chf,input,G (kg m-2s-1),mass flux,0.5,"P=0.5 because the variables have accepted thermal-hydraulic relevance, but the support is mainly empirical rather than a closed-form first-principles equation.",CHF (kW m-2): positive
chf,input,Tin (C),inlet coolant temperature,0.5,"P=0.5 because the variables have accepted thermal-hydraulic relevance, but the support is mainly empirical rather than a closed-form first-principles equation.",not_configured
chf,input,Xe (-),exit quality,0.5,"P=0.5 because the variables have accepted thermal-hydraulic relevance, but the support is mainly empirical rather than a closed-form first-principles equation.",CHF (kW m-2): negative
chf,output,CHF (kW m-2),critical heat flux,,,model output
heat,input,qprime,linear heat generation rate,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: positive
heat,input,mdot,coolant mass flow rate,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: negative
heat,input,Tin,inlet temperature,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: positive
heat,input,R,fuel or heat-source radius,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: positive
heat,input,L,heated length,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: positive
heat,input,Cp,coolant heat capacity,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: negative
heat,input,k,thermal conductivity,1.0,P=1.0 because the dataset variables are directly supported by standard heat-transfer equations and analytic temperature-rise relations.,T: negative
heat,output,T,temperature response,,,model output
xs,input,FissionFast,fast-group fission cross section,1.0,P=1.0 because neutron production and loss mechanisms are explicit and strongly tied to the input cross sections.,k: positive
